Myprotein MixMaster Shaker,"  Product specificationManufactured by the World famous German company Buchsteiner, these are the latest leak-proof shakers to our ever-growing range. These MixMaster shakers are your everyday essentials when mixing your powdered supplements. With the latest design, these shakers come with a mesh grill to ensure your shakes stay refreshing, lump-free and tasty as well as coming with a screw-top lid to keep those fluids secure.;Special FeaturesPerfect for mixing powdered supplementsFinished with awesome Myprotein brandingSuperb economic designManufactured by the World famous German company Buchsteiner100% dishwasher friendlyBest forMixing powdered supplements and optimising hydrationPerfect for optimising nutrition when travellingLet talk dimensions- 107 x 100 x 236 mm- Total capacity - 700ml;;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Myprotein Shaker Bottle Mini,"  This Myprotein Mini Blender shaker is an ideal substitute for an electric Shaker and provides a smooth shake when mixing your supplements. This shaker is a convenient size and is ideal for carrying around in your gym bag at all times. It also has an easy to clean design and is sealable to avoid any dripping.Special FeaturesPerfect for mixing all powdered supplementsFinished with awesome Myprotein brandingBest forMixing all powdered supplements anytime throughout the dayOptimising hydration when on travels and at workLet talk dimensions- Top diameter ; 95mm- Total height ; 160mm- Closure diameter ; 93mm- Base diameter ; 72mm- Total capacity ; 400mlPlease note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Myprotein Shaker Bottle,"  Our shaker bottle is the most advanced sports supplement bottle on the market. Designed specifically to support your workout goals and keep you hydrated throughout the day, it an essential for your gym bag.What are the benefits of our Shaker Bottle?Our bottle is designed with a unique wire blending ball, which acts just like a whisk to keep your shakes smooth and lump-free.With a secure screw-top lid and flip-cap over the spout, spillages are out of the question. Plus, it completely dishwasher friendly.When should you use our Shaker Bottle?It perfect for mixing your powdered supplements on the go, no electricity required! It also great for making sure you stay hydrated throughout the day.For even better results, try it with ;Myprotein Power Tower;; three airtight containers for individual servings, these are convenient and compact storage for powders, capsules or tablets.;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Tribulus Pro,"  Tribulus terrestris is a natural herb extract from a plant predominantly found in North America. It the ideal supplement to support an active lifestyle, especially for those looking to maintain strength and lean muscle mass.What are the benefits of Tribulus Pro?With 300mg of tribulus per capsule, it provides a massive 95% saponin content ; making it perfect to increase your daily intake.Plus, the convenient capsule form means you can easily take this supplement on the move, no matter how hectic your schedule is.When should you take Tribulus Pro?Simply take one capsule one to three times a day with a meal.For even better results, try it with ;Green Tea Extract Powder; ideal for anyone wanting a more concentrated form of green tea, with 40% total tea polyphenols, a minimum of 10% EGCG and a maximum of 8% caffeine.;;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
NO2 Extreme,"  Please note: packaging may differ from one shownOur;NO2 Extreme combines arginine alpha-ketoglutarate (AAKG),;arginine ethyl-ester HCL (AEE) , alpha-ketoglutarate (OAKG) and;niacin in;convenient, easy-to-consume capsules.Why choose NO2 Extreme?Recommended to anyone looking to get the most out of their training regime and particularly to those doing high-intensity strength workouts. Plus, its a great way to increase your dietary intake of l-arginine.And what's more, 4.5mg of niacin per serving, which contributes to normal energy-yielding metabolism and reduction of tiredness and fatigue.;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Active Women Mini Shaker,"  Product SpecificationThis Active Women Mini Shaker;is perfect for ensuring you have lump free blends in a convenient shaker. The blend bottle has a screw tight lid for no leaking, as well as an added mesh ball to remove all lumps for a smooth blend; this way, all your shakes stay tasting amazing and replenishing. The shaker contains 13.5oz with measurements shown on the side, finished with the world renowned Myprotein logo.Special FeaturesA screw tight lid for no leakingAdded mesh ball to remove all lumps for a smooth, replenishing blendFinished with awesome Myprotein brandingIdeal substitute for an electric blenderBest forMixing all powdered supplements anytime throughout the dayOptimising hydration when on travels and at workLet's talk dimensionsPlease note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis.Top diameter - 95mmTotal height - 160mmClosure diameter - 93mmBase diameter - 72mmTotal capacity - 400ml"
HMB,"  What is HMB?Beta-Hydroxy Beta-Methylbutyrate, or more commonly known by its abbreviation;HMB, is a metabolite of the branched chain amino acid leucine.;Why choose HMB?Growing in popularity since the 1990s, HMB is now widely used in many &lsquo;all-in-one' products. So why not try creating your own? Our HMB is made for this.Can it be used with other supplements?We recommend adding HMB to our Impact Whey Protein, as protein contributes to the maintenance growth and maintenance of muscle mass, or Creatine Monohydrate, with a daily intake of 3g,;can increase physical performance in bursts of short-term, high-intensity exercise.Please note that the labeling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
BCAA,"  BCAA: The Building Blocks of ProteinHere your essential amino acid supplement, containing an optimal 2:1:1 ratio of leucine, isoleucine, and valine. These can't be produced by your body so they must come from your diet.Our BCAA supplement provides a way to consume these essentials without being time consuming or costly.Ranked Grade A by independent tester Labdoor for both quality and value, our BCAA is officially certified as one of the best branched-chain amino acids supplements on the market.What are the benefits of BCAA?They're your essential amino acids in one convenient supplement. There are nine essential amino acids, and three branch-chain amino acids, which are leucine, isoleucine, and valine. These are the building blocks of protein, which makes up the structure of new muscle tissue.This is important for any fitness goal, whether you're looking to raise your game with another weekly gym session, or packing a few more kilos on your bar.When should you take BCAA?We recommend taking 5g 2-4 times a day for best results ; enjoying one of our range of fruity flavours, or simply adding the Unflavoured version to your favourite shake.These amino acids can be taken throughout the day, or before, during, and after exercise.Upgrade your gains: how to maximise resultsBCAAs are branch-chain amino acids and form the building blocks of protein, and must come from your diet. But, to make sure you're getting your daily protein allowance, add Impact Whey Protein   ; created with premium, grass-fed whey, it packed with an impressive 21g of protein per serving, delivering the protein you need from a high-quality source. To save on time and costs, add an Unflavoured scoop of BCAAs to your whey shake.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Alpha Lipoic Acid ALA,"  Alpha Lipoic Acid is ideal for anyone taking part in high-intensity exercise. It is recommended to take 1g of Alpha Lipoic Acid post workout for optimal effects.The dietary choices of all our customers are extremely important to us. Whilst this product is manufactured using ingredients and processing aids suitable for the vegan diet, please note that dairy powders are also used within the same production facility and cross contamination may occur at very small levels.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Instant Oats,"  Our Instant Oats are milled Scottish oats in an ultra-fine powder, ready to be mixed with either water or milk ; making breakfast time super-simple and nutritious.nWhat are the benefits of Instant Oats?nWith 11g of protein, which contributes to the growth and maintenance of muscle mass, it a great way to kick-off your daily intake.nIt also packed with fibre, and all the carbs needed to fuel your body ; for a perfect start to any day.nWhen should I take Instant Oats?nThey're the perfect choice any time of the day.nIdeal for breakfast, this super-simple snack can be enjoyed whenever you need a nutritional boost, including adding it to favourite smoothies and pancakes!nFor even better results, try it with ;nHard Gainer Extreme;; ultimate weight-gain formula boasting 35g protein and 61g carbs to deliver a massive total of 446 calories per serving, for a beasty bulk-up companion.*n*Protein contributes to the growth and maintenance of muscle mass.nPlease note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
